kind,dataset,observable,rows,Q2,xB,t,Ebeam,RC_refit,in_fit,source
cross section,CLAS6_y12 pi0 p,"sigma_U, sigma_LT, sigma_TT",96,1.15-4.23,0.132-0.538,-1.7295..-0.1198,5.75,yes,yes,"PRC 90 025205 (2014) supplemental, phi table"
cross section,CLAS6_y12 eta p,"sigma_U, sigma_LT, sigma_TT",69,1.17-4.24,0.133-0.539,-1.7499..-0.1194,5.75,yes,yes,"PRC 95 035202 (2017) supplemental, phi table"
cross section,HallA_y16 pi0 p,"sigma_T, sigma_LT, sigma_TT",7,1.50-2.00,0.360-0.360,-0.2810..-0.1787,"3.355 + 5.55, 4.455 + 5.55",no,no,"PRL 117 262001 (2016), figure 4"
cross section,HallA_y17 pi0 n,"sigma_T, sigma_LT, sigma_TT",4,1.75-1.75,0.360-0.360,-0.3313..-0.1827,E07-007 pair,no,yes,"PRL 118 222002 (2017), figure 5"
cross section,HallA_y11 pi0 p,"sigma_U, sigma_LT, sigma_TT, sigma_LT'",28,1.94-2.35,0.335-0.394,-0.4041..-0.1465,5.752,no,no,"PRC 83 025201 (2011), tables IV-VII"
cross section,HallA_y21 pi0 p,"sigma_U, sigma_LT, sigma_TT, sigma_LT'",36,2.67-8.31,0.360-0.600,-1.2791..-0.1957,"10.59, 10.99, 4.49, 7.38, 8.52, 8.85",no,no,"PRL 127 152301 (2021), supplemental table II"
cross section,CLAS12_y25 pi0 p,"sigma_U, sigma_LT, sigma_TT",146,1.32-4.29,0.127-0.529,-1.7382..-0.1240,10.604,no,no,"CLAS12 2025, preliminary (All_experiment.xlsx, provenance to be traced)"
cross section,COMPASS_y20 pi0 p,"sigma_U, sigma_LT, sigma_TT",5,2.00-2.00,0.093-0.093,-0.5000..-0.0800,160.0,no,no,"COMPASS, Phys. Lett. B 805 135454 (2020)"
asymmetry,CLAS6_demasi,A_LU^sinphi,62,1.30-4.40,0.141-0.517,-1.3320..-0.1470,5.776,no,yes,"De Masi et al., PRC 77 042201(R) (2008), figure extraction"
asymmetry,CLAS6_zhao,A_LU^sinphi,12,1.51-3.10,0.210-0.400,-1.2100..-0.2580,5.776,no,yes,"Zhao et al., PLB 789 426 (2019), figure extraction"
asymmetry,CLAS12_y24,A_LU^sinphi,30,2.58-6.64,0.290-0.560,-1.6510..-0.3250,10.6,no,yes,"Kim et al., PLB 849 138459 (2024), figure extraction"
asymmetry,eg1dvcs,A_UL^sinphi,10,1.94-2.83,0.250-0.400,-1.5900..-0.1500,5.9,no,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M5"
asymmetry,eg1dvcs,A_UL^sin2phi,10,1.94-2.83,0.250-0.400,-1.5900..-0.1500,5.9,no,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M7"
asymmetry,eg1dvcs,A_LL^const,10,1.94-2.83,0.250-0.400,-1.5900..-0.1500,5.9,no,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M9"
asymmetry,eg1dvcs,A_LL^cosphi,10,1.94-2.83,0.250-0.400,-1.5900..-0.1500,5.9,no,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M11"
